price,meters,rooms,Fix_zone,Fix_place_type,Fix_operation,currency,subzone1,subzone2,subzone3,Date,Urls
75000,85,3,Bsas Gba Norte,ph,alquiler,$,General San Martin,General San Martín, Villa Ballester,2023/01/03,https://inmueble.mercadolibre.com.ar/MLA-1298786170-ph-villa-ballester-_JM
110000,100,4,Bsas Gba Norte,ph,alquiler,$,General San Martin,General San Martín, Villa Lynch,2023/01/03,https://inmueble.mercadolibre.com.ar/MLA-1298786144-departamento-ph-en-alquiler-ubicado-en-villa-lynch-san-martin-gba-zona-norte-_JM
65000,60,3,Bsas Gba Norte,ph,alquiler,$,Tigre,Tigre, General Pacheco,2023/01/03,https://inmueble.mercadolibre.com.ar/MLA-1298807033-ph-el-talar-_JM
85000,70,3,Bsas Gba Norte,ph,alquiler,$,Vicente Lopez,Vicente López, Villa Martelli,2023/01/03,https://inmueble.mercadolibre.com.ar/MLA-1298604284-ph-tipo-casa-alquiler-3-ambientes-2-dormitorios-terraza-parrilla-sin-expensas-cochabamba-88-villa-martelli-vicente-lopez-_JM
140000,75,3,Bsas Gba Norte,ph,alquiler,$,San Isidro,San Isidro, Martínez,2023/01/03,https://inmueble.mercadolibre.com.ar/MLA-1298247668-martinez-duplex-3-amb-cgarage-y-patio-_JM
155000,52,2,Bsas Gba Norte,departamento,alquiler,$,San Isidro,San Isidro, Martínez,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298850678-2-amb-con-amenities-y-2-cocheras-fijas-y-cubiertas-_JM
72000,45,2,Bsas Gba Norte,departamento,alquiler,$,San Fernando,San Fernando, Altos De San Fernando,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298800142-excelente-2-amb-categ-la-mejor-ubicacion-_JM
70000,43,2,Bsas Gba Norte,departamento,alquiler,$,Pilar,Pilar,Bolivar Y Bataglia 0,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297550359-alquiler-departamento-2-amb-con-cochera-pilar-_JM
220000,83,4,Bsas Gba Norte,departamento,alquiler,$,Tigre,Tigre, Villa Nueva,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298310041-departamento-en-vila-vela-_JM
120000,60,2,Bsas Gba Norte,departamento,alquiler,$,Vicente Lopez,Vicente López,Carlos Villate Al 1600,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298311952-departamento-barrio-vicente-lopez-_JM
85000,60,2,Bsas Gba Norte,departamento,alquiler,$,Pilar,Pilar,R Caamaño 500,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297808518-departamento-en-alquiler-en-pilar-gba-zona-norte-_JM
110000,50,2,Bsas Gba Norte,departamento,alquiler,$,Tigre,Tigre, Nordelta Sendero,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297813399-alquiler-duplex-al-agua-cocherabalconparrilla-_JM
140000,42,2,Bsas Gba Norte,departamento,alquiler,$,Pilar,Pilar, Villa Rosa,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298456524-departamento-en-alquiler-club-bamboo-_JM
82000,56,3,Bsas Gba Norte,departamento,alquiler,$,General San Martin,General San Martín, Villa San Andrés,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298798798-departamento-3-ambientes-con-cochera-en-alquiler-san-andres-_JM
135000,57,3,Bsas Gba Norte,departamento,alquiler,$,Escobar,Escobar, Ingeniero Maschwitz,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298799354-departamento-green-style-_JM
180000,66,3,Bsas Gba Norte,departamento,alquiler,$,Tigre,Tigre, Nordelta El Palmar,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297857768-duplex-con-jardin-propio-2-cuartos-super-amplio-_JM
175000,73,3,Bsas Gba Norte,departamento,alquiler,$,San Isidro,San Isidro, Jardines De San Isidro,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297808824-impecable-dpto-3-ambientes-en-jardines-de-san-isidro-_JM
82000,56,3,Bsas Gba Norte,departamento,alquiler,$,Vicente Lopez,Vicente López, Villa Martelli,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297858841-alquiler-dpto-tres-ambientes-impecable-_JM
140000,60,3,Bsas Gba Norte,departamento,alquiler,$,San Isidro,San Isidro,Gral Paz Al 500,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297833331-departamento-san-isidro-_JM
85000,43,2,Bsas Gba Norte,departamento,alquiler,$,Tigre,Tigre,Sarmiento 500,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297770292-departamento-en-alquiler-en-tigre-centro-_JM
50000,45,3,Bsas Gba Norte,departamento,alquiler,$,San Miguel,San Miguel,Coronel L. M. Argüero 1815,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298786959-duplex-3-ambientes-en-san-miguel-_JM
125000,55,2,Bsas Gba Norte,departamento,alquiler,$,Vicente Lopez,Vicente López, Villa Martelli,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298785621-alquiler-departamento-2-ambientes-1-dormitorio-con-cochera-doble-2-autos-balcon-baulera-sum-parrilla-estanislao-del-campo-800-vicente-lopez-villa-martelli-florida-oeste-_JM
75000,45,2,Bsas Gba Norte,departamento,alquiler,$,Tigre,Tigre,Av Italia 1200,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297768797-departamento-en-alquiler-en-tigre-centro-_JM
150000,57,3,Bsas Gba Norte,departamento,alquiler,$,Escobar,Escobar, Ingeniero Maschwitz,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298754072-departamento-green-style-_JM
130000,70,3,Bsas Gba Norte,departamento,alquiler,$,General San Martin,General San Martín, Villa Ballester,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298787207-alquiler-belgrano-4748-depto-3-amb-ccochera-_JM
95000,83,2,Bsas Gba Norte,departamento,alquiler,$,Pilar,Pilar, Tortugas Garden,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297832229-departamento-de-dos-ambientes-en-alquiler-en-tortugas-garden-_JM
65000,41,2,Bsas Gba Norte,departamento,alquiler,$,Tigre,Tigre, Argentina,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297608014-departamento-en-alquiler-2-ambientes-italia-1245-2-c-tigre-centro-tigre-_JM
80000,45,2,Bsas Gba Norte,departamento,alquiler,$,Malvinas Argentinas,Malvinas Argentinas, Cuba Country Villa De Mayo,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298606182-departamento-monoambiente-mavinas-argentinas-_JM
53000,123,2,Bsas Gba Norte,departamento,alquiler,$,San Miguel,San Miguel, Muñiz,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297608915-alquiler-de-departamento-2-ambientes-para-personal-de-gendarmeria-_JM
100000,54,2,Bsas Gba Norte,departamento,alquiler,$,San Fernando,San Fernando, Victoria,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298309779-muy-lindo-depto-2-ambientes-victoria-_JM
65000,56,3,Bsas Gba Norte,departamento,alquiler,$,San Miguel,San Miguel,Vicente López 1761,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298212961--alquiler-departamento-3-ambientes-2-dormitorios-cofavi-i-san-miguel--_JM
58000,75,2,Bsas Gba Norte,departamento,alquiler,$,Tigre,Tigre, Ricardo Rojas,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298038524-av-de-los-constituyentes-3168-las-tunas-general-pacheco-_JM
70000,38,2,Bsas Gba Norte,departamento,alquiler,$,San Miguel,San Miguel, Muñiz,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298316522--alquiler-departamento-2-ambientes-con-cochera-planta-baja-las-alondras-muniz-c2807--_JM
120000,53,2,Bsas Gba Norte,departamento,alquiler,$,Vicente Lopez,Vicente López, Olivos,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297806363-2-amb-ccoch-cub-bcn-tza-cparrilla-fte-est-olivos-_JM
50000,45,3,Bsas Gba Norte,departamento,alquiler,$,Jose C Paz,José C Paz, Argentina,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298754205-departamento-3-ambientes-jose-c-paz-_JM
54000,45,3,Bsas Gba Norte,departamento,alquiler,$,Jose C Paz,José C Paz, Argentina,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298605806-departamento-3-ambientes-jose-c-paz-_JM
40000,32,1,Bsas Gba Norte,departamento,alquiler,$,General San Martin,General San Martín,Lacroze  Al 800. Entre Esquina Rodriguez Peña,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297844824-alquiler-de-departamento-1-ambiente-general-san-martin-_JM
120000,65,2,Bsas Gba Norte,departamento,alquiler,$,Tigre,Tigre, Nordelta El Palmar,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298787667-departamento-2-amb-con-terraza-propia-insignia-el-palmar-nordelta-_JM
230000,105,4,Bsas Gba Norte,departamento,alquiler,$,San Isidro,San Isidro, Acassuso,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298600343-departamento-en-alquiler-en-martinez-urquiza-y-arenales-3-dorm-_JM
130000,67,3,Bsas Gba Norte,departamento,alquiler,$,San Isidro,San Isidro, Terrazas Del Sol,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298844161-3-ambientes-en-duplex-condominio-con-seguridad-y-amenities-_JM
80000,38,3,Bsas Gba Norte,departamento,alquiler,$,Escobar,Escobar, Belén De Escobar,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297807929-departamento-en-alquiler-_JM
