price,meters,rooms,Fix_zone,Fix_place_type,Fix_operation,currency,subzone1,subzone2,subzone3,Date,Urls
120000,72,4,Capital Federal,ph,alquiler,$,Villa Lugano,Villa Lugano,Aquino Al 5100,2023/01/03,https://inmueble.mercadolibre.com.ar/MLA-1297606309-ph-villa-lugano-_JM
140000,65,3,Capital Federal,ph,alquiler,$,Monte Castro,Monte Castro, Argentina,2023/01/03,https://inmueble.mercadolibre.com.ar/MLA-1297767660-ph-3-ambientes-planta-baja-a-la-calle-sin-expensas-_JM
60000,35,1,Capital Federal,ph,alquiler,$,Mataderos,Mataderos,Pola 1000,2023/01/03,https://inmueble.mercadolibre.com.ar/MLA-1298125129-departamento-ph-en-alquiler-en-mataderos-capital-federal-buenos-aires-_JM
140000,100,4,Capital Federal,departamento,alquiler,$,Palermo,Palermo,Acuña De Figueroa  1219,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298041859-alquiler-palermo-_JM
65000,35,1,Capital Federal,departamento,alquiler,$,Villa Ortuzar,Villa Ortúzar, Argentina,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298786557-excelente-monoambiente-divisible-muy-luminoso-alquila-dueno-_JM
65000,40,1,Capital Federal,departamento,alquiler,$,Palermo,Palermo,Guardia Vieja  4100,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298902527-departamento-en-alquiler-zona-palermo-_JM
90000,45,2,Capital Federal,departamento,alquiler,$,Belgrano,Belgrano C,Republica De Eslovenia 1900,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297724365-departamento-2-ambiente-belgrano-las-canitas-_JM
150000,115,4,Capital Federal,departamento,alquiler,$,Recoleta,Recoleta,Av Las  Heras E/ Azcuenaga. 5 To Piso Al 2400,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297807100-divino-alquiler-antiguo-reciclado-3-dorm-con-dep-_JM
125000,73,3,Capital Federal,departamento,alquiler,$,Recoleta,Recoleta,Ayacucho 900,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297608053-alquiler-departamento-recoleta-3-amb-impecable-_JM
120000,92,4,Capital Federal,departamento,alquiler,$,Once,Once, Argentina,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298123295-departamento-4-ambientes-al-frente-con-balcon-piso-12-_JM
85000,63,3,Capital Federal,departamento,alquiler,$,Congreso,Congreso,Adolfo Alsina 1600,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298598073-departamento-3-ambientes-con-dependencia-luminoso-en-congreso-cerca-del-subte-_JM
95000,62,3,Capital Federal,departamento,alquiler,$,Versalles,Versalles,Cuzco Al 500,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298604949-alquiler-departamento-3-ambientes-versalles-_JM
60000,30,2,Capital Federal,departamento,alquiler,$,Congreso,Congreso, 14 K,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298481323-disponibilidad-inmediata-_JM
70000,41,2,Capital Federal,departamento,alquiler,$,Congreso,Congreso,Avenida Rivadavia Al 1700,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297832041-departamento-congreso-_JM
190000,66,4,Capital Federal,departamento,alquiler,$,Caballito,Caballito,Cachimayo Al 300,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297725510-alquiler-departamento-de-4-ambientes-en-caballito-_JM
250000,82,4,Capital Federal,departamento,alquiler,$,Colegiales,Colegiales,Alvarez Thomas Al 100,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297768756-alquiler-departamento-4-ambientes-con-cochera-cubierta-colegiales-_JM
55000,26,1,Capital Federal,departamento,alquiler,$,Villa Ortuzar,Villa Ortúzar,Av. Triunvirato Al 3300,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298038706-alquiler-departamento-monoambiente-en-villa-ortuzar-_JM
120000,43,2,Capital Federal,departamento,alquiler,$,Caballito,Caballito,Avenida Gaona 1300,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298312066-alquiler-depto-2-ambientes-ccochera-caballito-_JM
225000,48,2,Capital Federal,departamento,alquiler,$,Recoleta,Recoleta,Sanchez De Bustamante  2300 3°,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298246116-torre-the-edge-full-amenities-2-amb-bcon-terraza-_JM
180000,55,3,Capital Federal,departamento,alquiler,$,Villa Crespo,Villa Crespo,Gurruchaga Al 200,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297857812-departamento-villa-crespo-_JM
120000,60,2,Capital Federal,departamento,alquiler,$,Belgrano,Belgrano,Ciudad De La Paz Al 1000,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297608634-departamento-belgrano-ciudad-de-la-paz-1000-_JM
95000,49,2,Capital Federal,departamento,alquiler,$,San Nicolas,San Nicolás,Suipacha 200,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297831598-departamento-en-alquiler-2-ambientes-con-balcon-_JM
100000,55,3,Capital Federal,departamento,alquiler,$,Villa Ortuzar,Villa Ortúzar,Mariano Acha 1200,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297858562-alquiler-depto-3-amb-con-cochera-1-x-escalera-_JM
130000,50,2,Capital Federal,departamento,alquiler,$,Nuñez,Núñez,Arias Al 1600,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298458080-departamento-excelente-2-amb-c-balcon-edifcio-con-pileta-sum-y-parrilla-barrio-nunez-_JM
135000,75,3,Capital Federal,departamento,alquiler,$,Retiro,Retiro,Paraguay Al 400,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298851026-departamento-retiro-_JM
100000,44,2,Capital Federal,departamento,alquiler,$,Caballito,Caballito,Av Directorio 600,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298806253-departamento-en-alquiler-en-caballito-capital-federal-buenos-aires-_JM
90000,45,2,Capital Federal,departamento,alquiler,$,Villa Crespo,Villa Crespo,Eustoquio Frias Al 100,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297859632-departamento-villa-crespo-_JM
